OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
184,183,2500,1000000,0,2481,2481,48.1716,250.9612077,120429,172,0,31,1,45
185,184,2500,1000000,0,548,548,15.2112,46.27617308,38028,129,0,29,1,40
186,185,2500,1000000,0,1159,1159,30.97,115.5923505,77425,165,0,30,1,75
187,186,2500,1000000,0,7469,7469,76.4868,644.445137,191217,157,0,33,1,49
188,187,2500,1000000,0,7288,7288,182.0796,891.7109036,455199,176,0,34,1,51
189,188,2500,1000000,0,3365,3365,67.9536,391.17774,169884,165,0,40,1,38
190,189,2500,1000000,0,40085,40085,769.1184,5013.588822,1922796,190,0,42,1,70
191,190,1390,556000,0,30331,30331,913.1,5116.675103,1269209,110,0,25,1,44
192,191,108,43200,0,404,404,86.06481481,106.6800576,9295,37,0,6,17,217
193,192,389,155600,0,8470,8470,435.7043702,1851.14202,169489,48,0,15,1,28
194,193,2500,1000000,0,9375,9375,274.314,1490.208447,685785,147,0,30,1,29
195,194,2500,1000000,0,26628,26628,926.4792,4497.915006,2316198,179,0,26,1,62
196,195,2500,1000000,0,28764,28764,1403.762,5492.080837,3509405,210,0,25,1,416
197,196,2500,1000000,0,281739,281739,5989.73,36228.77087,14974325,175,0,33,1,51
198,197,2500,1000000,0,74563,74563,1944.2744,11671.70478,4860686,177,0,41,1,44
199,198,2500,1000000,0,72667,72667,341.6704,4587.887899,854176,174,0,17,1,39
200,199,2500,1000000,0,775,775,24.062,83.71473321,60155,158,0,24,1,49
201,200,2500,1000000,0,618,618,19.7508,78.0492966,49377,131,0,35,1,25
202,201,2500,1000000,0,312,312,13.162,37.30083854,32905,135,0,35,1,34
203,202,2500,1000000,0,12344,12344,348.1908,1728.480125,870477,184,0,39,1,47
204,203,2500,1000000,0,8709,8709,271.0424,1349.771274,677606,171,0,26,1,49
205,204,2500,1000000,0,1733,1733,48.7984,197.7742171,121996,190,0,29,1,99
206,205,2500,1000000,0,301,301,10.2636,29.50417793,25659,109,0,43,1,28
207,206,2500,1000000,0,40895,40895,225.69,2807.414027,564225,158,0,40,1,35
208,207,800,320000,0,44977,44977,3235.9775,11168.91211,2588782,84,0,17,1,343
209,208,300,120000,0,6967,6967,240.0266667,1044.659932,72008,43,0,24,3,66
210,209,2500,1000000,0,13013,13013,313.2652,1309.526328,783163,233,0,65,6,134
211,210,2500,1000000,0,15790,15790,402.6432,2298.932532,1006608,186,0,47,1,75
212,211,2500,1000000,0,18906,18906,180.9084,1287.378595,452271,183,0,21,1,55
213,212,2500,1000000,0,363631,363631,8400.6196,47305.09078,21001549,210,0,27,1,101
214,213,2500,1000000,0,78440,78440,1622.532,10994.92208,4056330,170,0,24,1,47
215,214,2500,1000000,0,961,961,17.232,78.69464388,43080,128,0,39,1,25
216,215,2500,1000000,0,3473,3473,81.684,358.1294159,204210,176,0,28,1,49
217,216,2500,1000000,0,1154,1154,28.3656,120.9159673,70914,147,0,44,1,41
218,217,2500,1000000,0,21459,21459,486.9892,2866.899179,1217473,223,0,23,1,218
219,218,2500,1000000,0,18066,18066,409.5572,2159.978836,1023893,183,0,31,1,64
220,219,2500,1000000,0,4042,4042,69.8304,355.9238335,174576,176,0,36,1,57
221,220,2500,1000000,0,1305,1305,11.0676,50.73006831,27669,110,0,42,1,21
222,221,2500,1000000,0,1285,1285,34.4256,147.2990987,86064,147,0,25,1,37
223,222,2500,1000000,0,1133,1133,42.6524,162.281803,106631,172,0,28,1,57
224,223,1020,408000,0,47742,47742,1075.844118,6897.19207,1097361,109,0,28,1,85
225,224,300,120000,0,546,546,47.63666667,127.8246376,14291,41,0,14,2,245
226,225,2500,1000000,0,1796,1796,54.9848,159.9018692,137462,229,0,30,2,169
227,226,2500,1000000,0,540,540,25.4812,85.31529316,63703,156,0,29,1,35
228,227,2500,1000000,0,2008,2008,64.998,258.1327759,162495,182,0,24,1,66
229,228,2500,1000000,0,367548,367548,9447.104,57802.78661,23617760,215,0,28,1,160
230,229,2500,1000000,0,368882,368882,3412.1356,35127.65565,8530339,162,0,56,1,38
231,230,2500,1000000,0,4059,4059,89.1712,483.024962,222928,173,0,38,1,55
232,231,2500,1000000,0,3905,3905,119.9604,587.842086,299901,149,0,25,1,38
233,232,2500,1000000,0,22996,22996,260.9664,2277.807892,652416,167,0,29,1,52
234,233,2500,1000000,0,22688,22688,456.562,3077.570351,1141405,146,0,28,1,34
235,234,2500,1000000,0,748,748,22.0148,82.79285586,55037,148,0,39,1,33
236,235,2500,1000000,0,651,651,21.0496,79.76184514,52624,128,0,38,1,34
237,236,2500,1000000,0,2058,2058,62.976,273.2695801,157440,171,0,42,1,44
238,237,2500,1000000,0,1891,1891,32.7024,194.6672511,81756,127,0,36,1,23
239,238,2500,1000000,0,3293,3293,124.4016,508.1359152,311004,189,0,38,1,79
240,239,2094,837600,0,56653,56653,1383.775549,8373.402053,2897626,155,0,28,1,63
241,240,1024,409600,0,1415,1415,41.89648438,202.6167175,42902,87,0,13,1,42
242,241,968,387200,0,6752,6752,265.8801653,1216.252498,257372,71,0,17,1,23
243,242,292,116800,0,530,530,27.90410959,97.92566574,8148,36,0,5,1,16
244,243,300,120000,0,51,51,4.046666667,8.76761972,1214,22,0,25,1,9
245,244,2500,1000000,0,199,199,7.9528,20.47357741,19882,95,0,35,1,22
246,245,2500,1000000,0,1028,1028,27.4692,114.2802216,68673,157,0,27,1,41
247,246,2500,1000000,0,1554,1554,40.5652,200.7645032,101413,144,0,34,1,29
248,247,2500,1000000,0,1126,1126,43.2628,162.545706,108157,182,0,21,1,50
249,248,2500,1000000,0,371767,371767,10301.9404,60675.32567,25754851,199,0,26,1,72
250,249,2500,1000000,0,376521,376521,3478.9952,35059.67351,8697488,209,0,45,1,142
251,250,2500,1000000,0,2244,2244,52.7296,256.0268386,131824,158,0,24,1,46
252,251,2500,1000000,0,26696,26696,1094.9108,5017.845943,2737277,184,0,38,1,56
253,252,2500,1000000,0,2623,2623,83.6584,392.7354724,209146,158,0,26,1,45
254,253,2500,1000000,0,1409,1409,27.668,134.6725725,69170,146,0,40,1,36
255,254,2500,1000000,0,2147,2147,70.2356,258.6077093,175589,175,0,34,1,36
256,255,2500,1000000,0,2640,2640,103.8144,424.1284607,259536,187,0,31,1,59
257,256,2500,1000000,0,1055,1055,25.2464,104.3649064,63116,135,0,43,1,31
258,257,2500,1000000,0,692,692,14.3676,57.88365979,35919,110,0,36,1,25
259,258,2500,1000000,0,391142,391142,1181.2816,10913.01566,2953204,158,0,36,1,41
260,259,2500,1000000,0,391142,391142,11025.3276,56154.25862,27563319,208,0,38,1,99
261,260,1850,740000,0,319502,319502,10898.06,54996.17431,20161411,131,0,42,1,34
262,261,67,26800,0,90,90,8.268656716,20.48339851,554,18,0,8,1,16
263,262,300,120000,0,802,802,31.13,117.260592,9339,38,0,9,1,64
264,263,2500,1000000,0,1451,1451,47.3088,184.9481112,118272,175,0,22,1,69
265,264,2500,1000000,0,718,718,15.9116,62.64805652,39779,125,0,16,1,24
266,265,2500,1000000,0,1296,1296,37.5756,151.3568244,93939,166,0,26,1,36
267,266,2500,1000000,0,1791,1791,48.982,225.1637983,122455,153,0,46,1,30
268,267,2500,1000000,0,1459,1459,34.9548,148.760102,87387,162,0,32,1,43
269,268,2500,1000000,0,383113,383113,10172.4904,61204.60534,25431226,194,0,26,1,109
270,269,2500,1000000,0,28277,28277,820.2848,4593.128929,2050712,182,0,45,1,73
271,270,2500,1000000,0,27676,27676,529.3952,3587.75009,1323488,138,0,26,1,23
272,271,2500,1000000,0,2855,2855,121.7972,457.0011476,304493,208,0,36,1,208
273,272,2500,1000000,0,6700,6700,92.6492,696.4953333,231623,148,0,18,1,36
274,273,2500,1000000,0,6300,6300,195.6992,793.9522519,489248,186,0,21,1,62
275,274,2500,1000000,0,3140,3140,98.5384,486.4915832,246346,141,0,66,1,29
276,275,2500,1000000,0,2272,2272,66.7956,303.3887081,166989,170,0,28,1,60
277,276,2500,1000000,0,1243,1243,43.0316,146.7018098,107579,175,0,34,1,96
278,277,2500,1000000,0,391677,391677,6618.79,50312.24294,16546975,154,0,42,1,34
279,278,2500,1000000,0,397530,397530,17208.8452,79772.80259,43022113,202,0,29,1,99
280,279,2426,970400,0,763,763,29.6067601,102.3846763,71826,167,0,28,1,51
281,280,2361,944400,0,768,768,22.04150784,89.92935232,52040,132,0,23,1,25
282,281,2370,948000,0,398,398,11.96160338,41.11359947,28349,114,0,48,1,22
283,282,1160,464000,0,279,279,9.987931034,29.6080696,11586,74,0,17,1,24
284,283,1000,400000,0,182,182,6.825,19.11047815,6825,56,0,20,1,17
285,284,1000,400000,0,1363,1363,46.603,184.0803938,46603,98,0,19,1,101
286,285,984,393600,0,10533,10533,408.6493902,1663.837007,402111,113,0,21,1,123
287,286,194,77600,0,5020,5020,269.6649485,1099.537633,52315,34,0,12,1,67
288,287,1568,627200,0,2151,2151,27.40625,156.7976895,42973,105,0,18,1,29
289,288,1950,780000,0,2134,2134,36.51076923,212.4189393,71196,123,0,28,1,40
290,289,1950,780000,0,1043,1043,21.31230769,88.35259433,41559,118,0,29,1,27
291,290,312,124800,0,55995,55995,8406.445513,19901.31544,2622811,65,0,10,3,55448
292,291,664,265600,0,6089,6089,121.3554217,725.1906626,80580,64,0,31,1,40
293,292,2500,1000000,0,3361,3361,141.48,543.1084768,353700,183,0,20,1,74
294,293,2500,1000000,0,1688,1688,47.6528,193.7265585,119132,190,0,33,2,69
295,294,2500,1000000,0,642,642,17.1504,58.94431762,42876,145,0,41,1,43
296,295,2500,1000000,0,2711,2711,114.6464,414.8721593,286616,219,0,32,1,111
297,296,2500,1000000,0,2980,2980,139.3808,572.4123072,348452,151,0,39,1,27
298,297,2500,1000000,0,384216,384216,5420.3304,45100.21907,13550826,206,0,48,1,103
299,298,2500,1000000,0,416492,416492,10434.36,62613.28201,26085900,186,0,17,1,61
300,299,2500,1000000,0,6121,6121,63.76,384.8567952,159400,162,0,27,1,51
301,300,2500,1000000,0,14639,14639,419.5248,1908.857444,1048812,172,0,31,1,49
302,301,2500,1000000,0,6942,6942,215.494,1131.002178,538735,159,0,25,1,41
303,302,2340,936000,0,4753,4753,136.9504274,699.1419547,320464,148,0,36,1,32
304,303,2028,811200,0,407,407,15.38856016,53.6496038,31208,108,0,56,1,23
305,304,2185,874000,0,406824,406824,8413.299314,57722.97472,18383059,143,0,34,1,38
306,305,2500,1000000,0,404020,404020,11765.6408,67655.3765,29414102,190,0,28,1,104
307,306,2500,1000000,0,400407,400407,12445.588,69247.21491,31113970,157,0,36,1,40
308,307,2500,1000000,0,397594,397594,5002.1452,43939.05991,12505363,184,0,36,1,54
309,308,2500,1000000,0,1848,1848,50.9952,187.796624,127488,154,0,32,1,26
310,309,2500,1000000,0,1326,1326,34.3648,160.1425806,85912,137,0,47,1,26
311,310,2500,1000000,0,1129,1129,37.2524,140.3088817,93131,152,0,34,1,48
312,311,2500,1000000,0,1708,1708,39.5004,154.8629497,98751,164,0,34,1,45
313,312,2500,1000000,0,1720,1720,23.1388,113.6667424,57847,126,0,29,1,31
314,313,2500,1000000,0,3873,3873,103.74,415.5244537,259350,201,0,50,1,75
315,314,2500,1000000,0,10980,10980,327.0656,1738.59934,817664,152,0,37,1,31
316,315,2459,983600,0,2016,2016,53.03660024,248.3674952,130417,146,0,28,1,39
317,316,2500,1000000,0,1856,1856,64.756,252.524292,161890,174,0,39,1,57
318,317,2500,1000000,0,1830,1830,47.6316,211.7506361,119079,140,0,37,1,32
319,318,2500,1000000,0,57903,57903,1621.57,9221.267691,4053925,181,0,29,1,48
320,319,430,172000,0,56774,56774,2708.004651,10763.69396,1164442,50,0,6,1,40
321,320,82,32800,0,6399,6399,859.5731707,2177.306246,70485,14,0,14,1,6387
322,321,1473,589200,0,302,302,7.711473184,21.11428148,11359,64,0,18,1,19
323,322,1550,620000,0,3835,3835,102.4251613,581.9679743,158759,93,0,20,1,21
324,323,1650,660000,0,330,330,11.24242424,39.40622186,18550,83,0,16,1,18
325,324,1840,736000,0,247,247,6.713043478,20.52215779,12352,78,0,12,1,20
