OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
89,88,2500,1000000,0,5.113135815,5.113135815,1.66180945,0.946200832,4154.523625,1.535314739,2.93837142
90,89,1321,528400,0.036750007,5.623967648,5.58721764,1.663746386,0.922504932,2197.808976,1.527026534,3.007658958
91,90,1639,655600,0.036470581,5.725119591,5.68864901,1.803037618,1.007566778,2955.178656,1.649577379,3.135212612
92,91,1791,716400,0.067034088,7.442781448,7.37574736,2.245422404,1.373373367,4021.551526,1.989162207,4.266579628
93,92,3,1200,1.045117855,3.880880117,2.835762262,2.409298817,1.160183326,7.227896452,2.301898479,3.56508379
94,93,1229,491600,0.162155479,8.874563217,8.712407738,2.904082362,1.604684905,3569.117223,2.600151539,5.220505333
95,94,940,376000,0.202692538,8.084971428,7.882278889,1.879514079,1.074235429,1766.743234,1.706868589,3.103399277
96,95,2500,1000000,0.095789112,7.819421768,7.723632656,2.259929004,1.333867975,5649.82251,2.037009239,4.129338264
97,96,2500,1000000,0.074130364,6.402824879,6.328694515,2.092273766,1.125340548,5230.684414,1.898696423,3.70326519
98,97,2500,1000000,0.046368144,12.82411194,12.77774379,2.108708293,1.482281929,5271.770733,1.796339393,3.58599658
99,98,2310,924000,0.025791388,18.25793457,18.23214318,2.888354809,2.069406739,6672.09961,2.426922321,5.259139061
100,99,2500,1000000,0.135436788,9.313464165,9.178027377,2.943767409,1.730635415,7359.418521,2.630266666,5.229154348
101,100,2500,1000000,0.069344349,8.944348335,8.875003986,1.84172568,1.210559812,4604.314199,1.561273694,3.244389296
102,101,2500,1000000,0.063942276,5.266225815,5.202283539,1.720005302,0.871367604,4300.013256,1.631903887,2.876565933
103,102,2500,1000000,0.029530596,12.07536602,12.04583542,2.479109918,1.650992792,6197.774794,2.162580967,4.621668339
104,103,2500,1000000,0.020256834,7.205348492,7.185091658,2.152277611,1.229520535,5380.694029,1.97813046,3.823596597
105,104,2500,1000000,0.044280738,25.28944969,25.24516895,2.875368392,2.984334316,7188.420981,2.059946299,5.77641201
106,105,2500,1000000,0.021613989,4.94288969,4.921275701,1.635288148,0.854405703,4088.220369,1.509885252,2.804607606
107,106,2500,1000000,0.08627639,6.601050854,6.514774464,1.661560916,0.971660099,4153.90229,1.507051826,2.951904535
108,107,1853,741200,0.089892611,10.87607765,10.78618504,2.119217254,1.285194831,3926.909572,1.942012668,3.695150375
109,108,1501,600400,0.009956433,8.521772385,8.511815952,2.24908663,1.655945388,3375.879032,1.737298846,4.895790577
110,109,300,120000,0.235800162,4.086463451,3.850663289,1.606389711,0.733636931,481.9169132,1.553807735,2.605518103
111,110,2500,1000000,0.055664815,5.406205654,5.350540839,1.667197206,0.984371426,4167.993015,1.495182633,3.0725389
112,111,2500,1000000,0.027423402,6.362356663,6.33493326,1.708881178,0.96065489,4272.202944,1.574544251,2.968625307
113,112,2500,1000000,0.04906087,6.913950443,6.864889573,1.969387827,1.166952352,4923.469568,1.783076406,3.605728889
114,113,2500,1000000,0.074130364,8.970859528,8.896729164,2.710581809,1.447630303,6776.454522,2.530659795,4.677000523
115,114,2500,1000000,0.051594172,12.50353718,12.45194301,2.941026138,2.001778671,7352.565344,2.437940121,5.604505014
116,115,2500,1000000,0.025992569,8.04780674,8.021814171,1.720061953,1.154884321,4300.154883,1.461663663,3.309880257
117,116,2500,1000000,0.094862781,9.555617332,9.460754551,2.239938313,1.303052377,5599.845783,2.050032496,4.045435762
118,117,2500,1000000,0.037508506,10.96485138,10.92734287,2.39208466,1.516806943,5980.211649,2.143960476,4.383917189
119,118,2500,1000000,0.030968139,6.80039978,6.769431641,1.955570303,1.063709222,4888.925759,1.818186998,3.329788923
120,119,2439,975600,0.030439859,13.02823448,12.99779462,2.410467792,1.810845499,5879.130944,1.963069201,4.393760014
121,120,2500,1000000,0.055688281,6.018532753,5.962844472,1.853582892,0.955405868,4633.957229,1.781101108,3.214109993
122,121,2500,1000000,0.004571325,7.972062588,7.967491263,1.871757142,1.079093474,4679.392855,1.709507346,3.200070858
123,122,2155,862000,0.021744382,10.87607765,10.85433327,1.915885414,1.333711202,4128.733068,1.612880707,3.564312935
124,123,812,324800,0.072892509,7.683971405,7.611078896,2.308067288,1.571208794,1874.150638,1.836383104,4.517426968
125,124,300,120000,0.089539275,5.102797985,5.013258711,2.249611753,1.285712056,674.883526,1.911276937,4.389214754
126,125,2500,1000000,0.024785738,6.099278927,6.074493188,2.071634052,1.063485401,5179.085129,1.984938979,3.498440003
127,126,2500,1000000,0.025758792,8.240244865,8.214486074,1.925462955,1.139570256,4813.657386,1.70680654,3.451348305
128,127,2500,1000000,0.069778368,5.468215942,5.398437575,1.684787211,0.886770004,4211.968028,1.571360588,2.847374439
129,128,2500,1000000,0.031462345,11.96590042,11.93443808,2.331637165,1.618958544,5829.092912,1.923496366,4.365103579
130,129,2500,1000000,0.077851571,8.695638657,8.617787085,2.450363539,1.453707592,6125.908848,2.18787837,4.431057453
131,130,2500,1000000,0.052368019,10.49275017,10.44038215,2.280069122,1.628982487,5700.172804,1.885648668,4.471881723
132,131,2500,1000000,0.05864504,14.82395172,14.76530668,2.507110097,1.930113279,6267.775242,2.038728476,5.089276314
133,132,2500,1000000,0.094605476,7.604059219,7.509453744,1.883861286,1.13521784,4709.653215,1.677375913,3.367309809
134,133,2500,1000000,0.091378681,6.088589668,5.997210987,2.066136788,1.140766413,5165.34197,1.864133,3.670581341
135,134,1411,564400,0.119210266,6.25492382,6.135713555,2.216651487,1.159783363,3127.695248,1.988723993,3.843811512
136,135,1706,682400,0.062995769,7.06658411,7.003588341,2.100263878,1.159156833,3583.050176,1.851542711,3.69984436
137,136,2500,1000000,0.047924355,10.10638046,10.05845611,2.099821997,1.398014828,5249.554993,1.810044527,3.821211553
138,137,2323,929200,0.033279862,8.425390244,8.392110381,1.922699969,1.122701244,4466.432029,1.678087831,3.392965174
139,138,2257,902800,0.078228533,18.8513031,18.77307457,2.61180874,2.149910211,5894.852327,2.189167261,4.380944633
140,139,2156,862400,0,9.935462952,9.935462952,1.8336981,1.540796947,3953.453103,1.547562599,3.801696658
141,140,1597,638800,0.033359032,5.117863655,5.084504623,1.598967144,0.885570208,2553.550529,1.45735085,2.818253279
142,141,300,120000,0.183661386,7.084110737,6.90044935,3.364910803,1.740389517,1009.473241,3.129654408,5.874033928
143,142,2500,1000000,0.014385103,9.423413277,9.409028173,2.700483177,1.66070641,6751.207942,2.380707741,4.925366879
144,143,2500,1000000,0.023809452,8.241684914,8.217875462,2.267473115,1.348664844,5668.682787,1.966857731,4.155170918
145,144,2500,1000000,0.055616971,6.923346996,6.867730025,2.20600206,1.250295968,5515.005151,2.042520165,3.909705877
146,145,2500,1000000,0.073126219,10.12687397,10.05374775,2.705328476,1.612982257,6763.32119,2.493150234,4.77721262
147,146,2500,1000000,0.037511464,7.939604282,7.902092818,2.143337553,1.259137807,5358.343882,1.937167048,3.928266168
148,147,2500,1000000,0.055440433,5.635528564,5.580088131,1.851913041,1.022285322,4629.782603,1.695112526,3.263719559
149,148,2500,1000000,0.105009586,11.95953941,11.85452983,2.282574929,1.613190626,5706.437322,1.890883982,4.236767387
150,149,2500,1000000,0.017207429,12.50850487,12.49129744,2.521496005,1.83314273,6303.740013,2.064336538,4.92536149
151,150,2500,1000000,0.073398456,11.42240047,11.34900202,2.405412964,1.614190501,6013.532409,2.039357185,4.420114517
152,151,1631,652400,0.012142223,10.34905624,10.33691402,2.705750276,1.588437336,4413.0787,2.474377632,4.744606972
153,152,1595,638000,0.051173594,9.849672318,9.798498724,2.807992684,1.836097517,4478.748331,2.376851797,5.544331837
154,153,2500,1000000,0.101546071,9.266533852,9.16498778,2.314657197,1.483736277,5786.642992,2.014221907,4.268507671
155,154,2500,1000000,0.098924778,7.02923727,6.930312492,1.85579639,1.129705707,4639.490976,1.635467827,3.381861925
156,155,2500,1000000,0.015805855,8.494174957,8.478369102,2.254491182,1.375481094,5636.227954,2.013966084,4.078316784
157,156,2500,1000000,0,13.0295763,13.0295763,2.657763472,1.87677724,6644.408679,2.213498473,5.143181324
158,157,2035,814000,0.02946038,9.501627922,9.472167542,2.359643979,1.601327654,4801.875497,1.972869158,4.605154419
159,158,300,120000,0.066749267,5.934868813,5.868119545,1.93619562,1.063073356,580.8586859,1.880090237,3.438016891
160,159,2500,1000000,0.058375861,7.345606327,7.287230466,2.765646165,1.492105031,6914.115413,2.647120953,4.886275053
161,160,2500,1000000,0.063424103,7.650999069,7.587574966,2.377912014,1.399085971,5944.780035,2.166240454,4.389522552
162,161,2500,1000000,0.041160047,7.73551321,7.694353163,2.500208191,1.421396967,6250.520477,2.309973598,4.54199791
163,162,2500,1000000,0.081836954,11.35041142,11.26857446,1.922869895,1.393726809,4807.174737,1.609934568,3.40100503
164,163,2500,1000000,0.039514594,6.829069138,6.789554544,1.778444027,1.029982291,4446.110067,1.618812084,3.170148611
165,164,2500,1000000,0.054009523,7.808918476,7.754908953,1.898826351,1.167893239,4747.065878,1.68061626,3.475276136
166,165,2500,1000000,0.096482031,13.71811008,13.62162805,2.521922442,1.680735874,6304.806106,2.148536563,4.435866833
167,166,2500,1000000,0.114040978,13.18104267,13.06700169,3.010690263,1.968041428,7526.725658,2.551042795,5.619145203
168,167,2500,1000000,0.084918797,13.13345909,13.04854029,2.982817523,2.173620604,7457.043807,2.380859375,5.749678135
169,168,2500,1000000,0.098001115,13.37542534,13.27742422,2.533928913,1.579321888,6334.822284,2.228185415,4.451954937
170,169,2500,1000000,0.03528434,9.209659576,9.174375236,2.190036402,1.282990171,5475.091006,1.960779071,3.78697753
171,170,2500,1000000,0.012341545,9.2838974,9.271555855,2.18521296,1.455704009,5463.032401,1.895696402,4.035811424
172,171,2500,1000000,0.081516728,10.34641361,10.26489688,2.449288148,1.62952026,6123.220369,2.076116204,4.630383492
173,172,2500,1000000,0.107668243,17.53832436,17.43065611,2.872265288,2.051796095,7180.663219,2.445866466,5.591301918
174,173,2500,1000000,0.050125461,11.46907997,11.41895451,2.93552669,2.031016259,7338.816724,2.505793095,5.765637922
175,174,854,341600,0.116566494,10.57991505,10.46334855,3.305116665,1.706132628,2822.569632,3.140375257,5.700577736
176,175,300,120000,0.354217529,6.87945509,6.52523756,2.951725107,1.582469514,885.5175321,2.750304699,5.666116333
177,176,2500,1000000,0.018098356,11.02410316,11.00600481,2.782353659,1.838890184,6955.884147,2.35628283,5.422366619
178,177,2500,1000000,0.076889873,10.45037079,10.37348092,2.735621201,1.819335536,6839.053002,2.420182824,5.265024185
179,178,2500,1000000,0.034307905,14.84551716,14.81120925,2.936160661,2.072548517,7340.401653,2.44261384,5.866376495
180,179,2500,1000000,0,8.427303314,8.427303314,2.26393178,1.478844384,5659.82945,1.915146351,4.408055305
181,180,2500,1000000,0.039514594,5.503748894,5.4642343,1.73780338,0.959760011,4344.50845,1.621341705,3.006270647
182,181,2500,1000000,0.054009523,13.89975071,13.84574119,2.5512996,1.801834613,6378.248999,2.137122393,4.798099661
183,182,2500,1000000,0.050904989,17.58405685,17.53315187,2.688480491,2.063879409,6721.201228,2.220275402,4.972856712
184,183,2500,1000000,0.016759461,9.111578941,9.094819481,2.553654264,1.407251099,6384.13566,2.350757837,4.415546846
185,184,2500,1000000,0.033803765,6.721946716,6.688142952,2.317758807,1.287482378,5794.397018,2.124823093,4.217805004
186,185,2500,1000000,0.076958202,10.71796513,10.64100692,2.48007803,1.666885684,6200.195074,2.039061785,4.797210693
187,186,2500,1000000,0.073023424,8.825587273,8.752563849,2.286555492,1.40769012,5716.388731,2.04402554,4.105926991
188,187,2500,1000000,0.063305266,5.976798058,5.913492791,1.838656826,1.024286326,4596.642066,1.727408767,3.218610406
189,188,2500,1000000,0.067177221,6.663959503,6.596782282,2.194825178,1.181848625,5487.062944,2.041921616,3.799412966
190,189,2500,1000000,0.041327085,11.26689053,11.22556344,2.934035707,1.655461481,7335.089268,2.734190583,5.055270052
191,190,1373,549200,0.048521597,9.51082325,9.462301653,2.628486579,1.548801917,3608.912072,2.37711978,4.736498737
