OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
124,123,2862,987040.6515,0,948,948,20.73619846,69.27208589,59347,188,0,61,4,43
125,124,2916,1005664.06,0,26980,26980,137.808299,1250.257266,401849,246,0,60,2,55
126,125,370,127604.8362,0,133,133,7.567567568,17.62881631,2800,46,0,19,1,21
127,126,2916,1005664.06,0,1702,1702,21.83676269,94.58511002,63676,151,0,74,5,41
128,127,2809,968762.121,0,1971,1971,38.09077964,159.2218169,106997,244,0,62,3,63
129,128,2916,1005664.06,0,124710,124710,1366.03155,10912.34419,3983348,365,0,50,2,119
130,129,2916,1005664.06,0,2994,2994,30.42592593,220.4977713,88722,160,0,58,2,37
131,130,2862,987040.6515,0,25766,25766,483.1942697,3054.974999,1382902,345,0,78,2,97
132,131,2916,1005664.06,0,1577431,1577431,23808.54904,191397.978,69425729,452,0,67,4,208
133,132,2916,1005664.06,0,2455,2455,43.65569273,208.4799141,127300,246,0,67,3,64
134,133,2916,1005664.06,0,15306,15306,354.2376543,2122.788114,1032957,313,0,49,3,96
135,134,2862,987040.6515,0,78506,78506,1445.644305,10180.71324,4137434,302,0,75,6,78
136,135,2916,1005664.06,0,2849,2849,61.35048011,306.0916475,178898,229,0,74,5,49
137,136,2916,1005664.06,0,10791,10791,189.6615226,1229.994723,553053,248,0,43,3,53
138,137,2916,1005664.06,0,1887,1887,14.55144033,65.83118787,42432,149,0,65,2,30
139,138,2916,1005664.06,0,39885,39885,796.4502743,4479.623808,2322449,583,0,74,6,413
140,139,2916,1005664.06,0,6009,6009,73.46433471,416.3792388,214222,268,0,59,4,61
141,140,2862,987040.6515,0,3102,3102,77.74318658,380.0695311,222501,293,0,51,4,63
142,141,2916,1005664.06,0,2805,2805,57.83333333,253.1545483,168642,327,0,48,4,90
143,142,2916,1005664.06,0,12278,12278,202.1553498,1196.669153,589485,378,0,88,5,125
144,143,2916,1005664.06,0,3790,3790,81.19718793,426.5917765,236771,274,0,55,2,60
145,144,2862,987040.6515,0,543,543,19.91334731,41.77981497,56992,198,0,85,3,61
146,145,2916,1005664.06,0,15915,15915,162.5089163,1408.176964,473876,235,0,66,2,51
147,146,2916,1005664.06,0,2665,2665,39.49211248,203.4266625,115159,239,0,60,3,67
148,147,2916,1005664.06,0,745,745,16.38580247,53.97470249,47781,179,0,48,2,33
149,148,2862,987040.6515,0,5041,5041,25.11460517,152.0988296,71878,196,0,70,3,46
150,149,2862,987040.6515,0,32187,32187,559.9458421,3760.880816,1602565,276,0,66,4,61
151,150,2862,987040.6515,0,3604,3604,133.1715584,425.2591008,381137,474,0,63,5,297
152,151,2809,968762.121,0,1758,1758,75.80598078,219.5358183,212939,392,0,54,7,165
153,152,2916,1005664.06,0,1526,1526,27.52434842,134.5479518,80261,191,0,68,3,44
154,153,2916,1005664.06,0,1670,1670,65.3861454,177.1185474,190666,372,0,117,10,128
155,154,2862,987040.6515,0,3182,3182,56.54192872,286.3075285,161823,218,0,87,5,57
156,155,2916,1005664.06,0,8850,8850,194.8425926,1057.360191,568161,372,0,49,3,132
157,156,2916,1005664.06,0,5956,5956,94.93655693,509.4055033,276835,292,0,61,2,78
158,157,2916,1005664.06,0,74037,74037,428.7692044,4365.43174,1250291,400,0,61,4,170
159,158,2862,987040.6515,0,26964,26964,555.6925227,3337.890439,1590392,413,0,61,11,153
160,159,2916,1005664.06,0,45249,45249,303.212963,3125.139333,884169,373,0,64,5,124
161,160,2916,1005664.06,0,17320,17320,258.5802469,1885.515204,754020,298,0,75,2,70
162,161,2916,1005664.06,0,850,850,22.80486968,65.89985952,66499,216,0,72,2,66
163,162,2916,1005664.06,0,1061,1061,23.93552812,82.62225817,69796,202,0,63,3,49
164,163,2862,987040.6515,0,2596,2596,60.58001398,258.1977633,173380,303,0,53,3,68
165,164,2916,1005664.06,0,1128176,1128176,20878.90844,151627.421,60882897,343,0,52,4,88
166,165,2862,987040.6515,0,7282,7282,236.4433962,1097.762638,676701,368,0,64,4,107
167,166,2916,1005664.06,0,2257,2257,33.42215364,113.1189411,97459,280,0,59,3,90
168,167,2862,987040.6515,0,3512,3512,49.93675751,300.7300049,142919,206,0,80,3,51
169,168,2916,1005664.06,0,588097,588097,11094.34534,69318.38602,32351111,505,0,45,8,263
170,169,2916,1005664.06,0,6017,6017,147.5497257,696.111051,430255,319,0,84,5,81
171,170,2916,1005664.06,0,608004,608004,9282.199588,73240.42405,27066894,562,0,51,4,609
172,171,2916,1005664.06,0,3556,3556,53.62071331,231.5578826,156358,296,0,54,4,81
173,172,2862,987040.6515,0,10615,10615,225.0020964,1162.789867,643956,415,0,78,16,210
174,173,2916,1005664.06,0,3958,3958,99.55349794,448.7248901,290298,375,0,48,2,137
175,174,2916,1005664.06,0,2409,2409,28.69410151,146.7016923,83672,203,0,60,3,41
176,175,2862,987040.6515,0,3366,3366,76.66631726,278.0268039,219419,365,0,93,3,138
177,176,2916,1005664.06,0,549,549,14.489369,41.94096,42251,159,0,46,3,35
178,177,2916,1005664.06,0,1109,1109,30.43930041,105.8675478,88761,250,0,77,3,59
179,178,2916,1005664.06,0,95974,95974,1804.842936,12703.37946,5262922,316,0,99,7,79
180,179,2916,1005664.06,0,3846,3846,57.68312757,323.80516,168204,232,0,53,2,56
181,180,2916,1005664.06,0,1793,1793,45.8861454,187.811762,133804,280,0,73,4,79
182,181,2916,1005664.06,0,209640,209640,1403.386145,16741.68566,4092274,342,0,36,2,172
183,182,2916,1005664.06,0,91097,91097,2233.61454,13579.61231,6513220,269,0,74,3,56
184,183,2862,987040.6515,0,1101,1101,29.77952481,90.50705035,85229,242,0,44,4,70
185,184,2916,1005664.06,0,28236,28236,372.553155,2793.57162,1086365,260,0,80,4,60
186,185,2862,987040.6515,0,65433,65433,1340.755416,8560.320789,3837242,538,0,83,7,495
187,186,2916,1005664.06,0,3800,3800,50.48045267,272.7244736,147201,231,0,82,4,65
188,187,2862,987040.6515,0,3814,3814,32.55625437,151.8692664,93176,217,0,78,4,52
189,188,2916,1005664.06,0,15327,15327,176.2078189,1370.714729,513822,209,0,66,3,41
190,189,2916,1005664.06,0,10586,10586,191.0778464,959.6396281,557183,376,0,74,6,128
191,190,2916,1005664.06,0,556,556,23.46124829,56.09407705,68413,232,0,56,3,64
192,191,2862,987040.6515,0,927,927,28.00174703,73.02258104,80141,264,0,48,2,79
193,192,2862,987040.6515,0,5574,5574,107.384696,665.8667212,307335,209,0,74,3,52
194,193,2916,1005664.06,0,1326,1326,37.26714678,129.2992654,108671,290,0,54,2,85
195,194,2916,1005664.06,0,1349,1349,25.28772291,104.158967,73739,204,0,67,3,42
196,195,2916,1005664.06,0,32233,32233,611.1128258,4091.406865,1782005,367,0,61,3,125
197,196,2916,1005664.06,0,15992,15992,341.6409465,1883.607595,996225,308,0,59,3,72
198,197,2916,1005664.06,0,727,727,16.90912209,54.17789664,49307,182,0,60,3,32
199,198,2862,987040.6515,0,3976,3976,79.29350105,386.1854382,226938,312,0,35,3,76
200,199,2862,987040.6515,0,843,843,22.41579315,78.27961762,64154,221,0,40,2,49
201,200,2916,1005664.06,0,26998,26998,539.1673525,3389.096504,1572212,253,0,62,2,51
202,201,2916,1005664.06,0,2131,2131,55.04766804,253.970209,160519,265,0,82,3,60
203,202,2916,1005664.06,0,12923,12923,304.6183128,1374.207867,888267,474,0,71,10,186
